name,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,statuses_count,id
Franz Wagner,franzboogie,,Chasing dreams. IG: @franz_weasley,https://t.co/dZBVa7l56E,6983,28,57,2021-06-13 21:33:02,3,6,1404190041648242688
Patrick Williams,patricklw4,,"stay humble, keep it neutral. ♟",https://t.co/NYLkY6PfzE,23897,31,108,2020-11-12 22:23:51,31,37,1327014184953921537
Malcolm Brogdon,MalcolmBrogdon7,,Impact-Driven Leader | Professional Athlete | Founder of @brogdonfamfnd,https://t.co/rBmkawfDVi,13697,157,122,2020-06-24 16:13:35,532,220,1275824260091719682
Chris Duarte,C_Duarte5,"Eugene, OR",Oregon Basketball #5,,7507,146,44,2019-08-07 23:44:05,6555,485,1159248879914835970
josh giddey,joshgiddey,,"6’9 point guard, Oklahoma City Thunder",,17214,47,60,2019-07-15 03:48:08,277,83,1150612989399093248
Rayjon Tucker,th3flighttuck,,#BTO COME FLY WITH ME 🚀 Gram: @Th3flight “Trust and believe Dat”— I float 🕴🏽,,7761,173,60,2019-07-04 06:22:10,1403,1596,1146665484210884608
Dj Augustin,augustinDj14,,Entrepreneur~Point Guard 🏀 ~ IG: @Djaugustin ~ https://t.co/jx7LDnQLoa,https://t.co/YIJpaTvsxV,4681,75,72,2019-06-30 18:51:32,152,212,1145404516684226562
De'Andre Hunter,DreHunter,,RIP Dad,,14474,33,174,2019-04-20 22:39:44,22,125,1119732410223079424
ty Jerome,tyjerome_,,,,19222,77,190,2019-04-12 16:15:40,1059,393,1116736652960047105
Alperen,alperennsengun,Türkiye,Official Twitter account of #AlperenŞengün Professional basketball player at @houstonrockets and @tbf. Business and communication: @sagatise,,32891,32,59,2019-03-02 11:29:58,204,53,1101806852034232320
Tyrese Haliburton,TyHaliburton22,"Oshkosh, WI",To Him be the glory forever. Rese.ETH. BAYC #8409,,47040,224,216,2019-02-28 02:32:07,1055,634,1100946718693224448
Collin 'Young Bull' Sexton,CollinSexton02,,#MoveWithAPurpose,https://t.co/cGbTp3MvCN,46150,19,176,2019-01-07 16:22:10,105,217,1082311439694659584
Daquan Jeffries,daquanjeffries2,,Professional Basketball Player 🏀 University of TULSA 🎓 👻daquanmj19,,1374,58,29,2018-12-26 17:24:01,267,206,1077978352567361536
Usman Garuba Alari,Usmangaruba,19200,@houstonrockets🏀 @baloncestoesp🇪🇸 @adidas_es👟,,19763,197,115,2018-11-28 10:18:04,671,180,1067724298603892736
Boban Marjanovic,BobanMarjanovic,"Dallas, TX","This is the O F F I C I A L Twitter account of Boban “Bobi” Marjanovic aka The man, the myth, the legend #YoureWelcome",,105295,142,461,2018-08-21 18:13:52,103,197,1031967637561954304
Jevon Carter (Bulldog),nextlevel_03,"Maywood, IL",Brooklyn Nets 🏀 #NBA #WVUAlumni🏀 #ProvisoEast #NLP #Maywood #Illinois R.I.P. Grandma-Granddad❤️,,25526,170,177,2018-06-26 16:26:55,2101,1508,1011647002776670209
Mikal Bridges,mikal_bridges,"Malvern, PA",Sometimes i hoop ... https://t.co/krkb8SElBb,,39886,311,303,2018-05-09 21:58:11,1423,1343,994335752312979463
Devonte Graham,Devonte4Graham,United States,Raleighhhhhh !!! KUCMB💍💍💍💍 Love Life & Cherish those around you 🙏🏾❤️💯 #BELI4VE,,32184,157,179,2018-05-02 19:07:27,531,1394,991756067938840577
