created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-09-25 03:00:01,1441598335261962249,Dope!!! 🔥🔥🔥 can’t wait to jump on the discord in a little https://t.co/wQcxDD4ENf,DGreen_14,Danny Green,Mon Mar 21 00:58:06 +0000 2011,"[{'url': 'https://t.co/wQcxDD4ENf', 'expanded_url': 'https://twitter.com/kb24nft/status/1439019712902418435', 'display_url': 'twitter.com/kb24nft/status…', 'indices': [58, 81]}]"
2021-09-25 02:17:28,1441587628034301953,I damn near don’t even wanna watch boosie movie yet cause I’m gone be pissed when it end. 😂,rob_williamsIII,Robert Williams,Thu May 19 21:35:39 +0000 2011,[]
2021-09-25 02:01:07,1441583512734273536,"Just seen @iamzedkey @ahrensjustin12 leaving the schott at 9:30 pm on a Friday night

It’s about to be a good year!",thekidet,Evan Turner,Thu Nov 19 16:09:44 +0000 2009,[]
2021-09-25 01:44:09,1441579242546892802,@24Bazemore @JustinThomas34 @RyderCupUSA Yessir!,andre,andre,Thu Jul 07 22:59:50 +0000 2011,[]
2021-09-25 01:36:11,1441577237057191942,I think I can play QB .. https://t.co/YguTdo7sTW,tyjerome_,ty Jerome,Fri Apr 12 16:15:40 +0000 2019,"[{'url': 'https://t.co/YguTdo7sTW', 'expanded_url': 'https://twitter.com/Troy21803845/status/1441554666295152644', 'display_url': 'twitter.com/Troy21803845/s…', 'indices': [25, 48]}]"
2021-09-25 01:25:25,1441574528392445952,@andre @JustinThomas34 @RyderCupUSA Boys are locked in!!,24Bazemore,Baze,Tue Apr 07 02:23:02 +0000 2009,[]
2021-09-25 01:23:29,1441574044323643398,Haha if I didn’t I was going to steal yours 😂😂 https://t.co/JAJxec6GlK,joshhart,Josh Hart,Wed Jun 15 23:37:18 +0000 2011,"[{'url': 'https://t.co/JAJxec6GlK', 'expanded_url': 'https://twitter.com/gfunkera86/status/1441563562795839490', 'display_url': 'twitter.com/gfunkera86/sta…', 'indices': [47, 70]}]"
2021-09-25 01:23:19,1441573999570345987,This is comedy!!! https://t.co/8Z0aUcxdT8,spidadmitchell,Donovan Mitchell,Fri Feb 10 00:28:37 +0000 2012,"[{'url': 'https://t.co/8Z0aUcxdT8', 'expanded_url': 'https://twitter.com/espn/status/1441568906733240320', 'display_url': 'twitter.com/espn/status/14…', 'indices': [18, 41]}]"
2021-09-25 01:14:57,1441571894050840578,Willy &amp; Yeli - B2B - pray for the world!,dekker,Sam Dekker,Thu Apr 23 20:40:42 +0000 2009,[]
2021-09-25 01:12:05,1441571173553393667,Shoutout to @Karsonnnn for winning the first giveaway. More to come! https://t.co/ysm2Q2Sk15,goodysav,Brandon Goodwin,Thu Oct 29 16:09:45 +0000 2015,"[{'url': 'https://t.co/ysm2Q2Sk15', 'expanded_url': 'https://twitter.com/goodysav/status/1441215313777934336', 'display_url': 'twitter.com/goodysav/statu…', 'indices': [69, 92]}]"
