created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-09-13 17:10:05,1437463607961341954,🔥🔥🔥 https://t.co/4Im3JQZb9t,DmillerKY,Darius Miller,Sun May 03 23:40:33 +0000 2009,"[{'url': 'https://t.co/4Im3JQZb9t', 'expanded_url': 'https://twitter.com/elzworthbentley/status/1437454223885717505', 'display_url': 'twitter.com/elzworthbentle…', 'indices': [4, 27]}]"
2021-09-13 17:05:47,1437462523473801227,🇫🇷🇫🇷🇫🇷 https://t.co/s5al0DbuDo,nicolas88batum,Nicolas Batum,Thu Jul 08 16:06:53 +0000 2010,[]
2021-09-13 17:04:47,1437462272457183240,Birth Week☺️🙏🏽,TheTraeYoung,Trae Young,Tue Oct 07 01:18:38 +0000 2014,[]
2021-09-13 17:00:45,1437461259339931655,Facts https://t.co/eSErgjBs3B,J30_RANDLE,Julius Randle,Sat Aug 21 00:50:10 +0000 2010,"[{'url': 'https://t.co/eSErgjBs3B', 'expanded_url': 'https://twitter.com/bleacherreport/status/1437437591608086537', 'display_url': 'twitter.com/bleacherreport…', 'indices': [6, 29]}]"
2021-09-13 17:00:11,1437461116406353921,OUT TOMORROW. Get your pre-order in now: https://t.co/giGNZwjP2c #WhereTomorrowsArentPromised https://t.co/GDVI7TuYAc,carmeloanthony,Carmelo Anthony,Mon May 25 10:30:34 +0000 2009,"[{'url': 'https://t.co/giGNZwjP2c', 'expanded_url': 'http://bit.ly/wheretomorrowsarentpromised', 'display_url': 'bit.ly/wheretomorrows…', 'indices': [41, 64]}]"
2021-09-13 16:41:13,1437456341287723014,Congrats to @HunterYurachek and @CoachSamPittman as well.,Dan_G33,DG 💪🏾,Thu Jan 15 01:05:07 +0000 2015,[]
2021-09-13 16:32:31,1437454155115900938,🤔 https://t.co/wh7ZUT6zYr,EvanFourmizz,Evan Fournier,Tue Apr 24 21:39:21 +0000 2012,"[{'url': 'https://t.co/wh7ZUT6zYr', 'expanded_url': 'https://twitter.com/Profs_Staps_R2/status/1437416427225505800', 'display_url': 'twitter.com/Profs_Staps_R2…', 'indices': [2, 25]}]"
2021-09-13 16:05:07,1437447258723606531,My brothaaa !! @toups_33 https://t.co/pIOPKGfqJ0,FrankLikina,Frank Ntilikina,Sat Sep 03 20:08:06 +0000 2016,"[{'url': 'https://t.co/pIOPKGfqJ0', 'expanded_url': 'https://twitter.com/toups_33/status/1437443452954943489', 'display_url': 'twitter.com/toups_33/statu…', 'indices': [25, 48]}]"
2021-09-13 15:57:42,1437445392975601665,Really excited about the future of my Browns. Competed and showed we are on the doorstep of greatness. This will be… https://t.co/0nGZ07o1go,CJMcCollum,CJ McCollum,Fri Nov 27 04:39:59 +0000 2009,"[{'url': 'https://t.co/0nGZ07o1go', 'expanded_url': 'https://twitter.com/i/web/status/1437445392975601665', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-09-13 15:51:50,1437443916849156101,“I never fold under mental pressure”- NH NIP https://t.co/jE8poFICUW,russwest44,Russell Westbrook,Tue Apr 28 03:59:26 +0000 2009,[]
2021-09-13 15:42:27,1437441553438580741,Rollie gang Rollie gang Rollie gang https://t.co/peqsj9Vgnh,jarenjacksonjr,JJJ,Fri Jul 15 03:26:45 +0000 2016,"[{'url': 'https://t.co/peqsj9Vgnh', 'expanded_url': 'https://twitter.com/memgrizz/status/1437417865603387401', 'display_url': 'twitter.com/memgrizz/statu…', 'indices': [36, 59]}]"
2021-09-13 15:40:58,1437441181298962433,TOM FORD SS22 #STAYME7O https://t.co/ruNLNNxV4t,carmeloanthony,Carmelo Anthony,Mon May 25 10:30:34 +0000 2009,[]
2021-09-13 14:53:20,1437429191696273413,Morning World 🌎 Let’s be great this week!,KarlTowns,Karl-Anthony Towns,Fri Sep 11 21:57:19 +0000 2009,[]
2021-09-13 14:32:37,1437423981120872449,"Another Day, Another Opportunity💯",TheTraeYoung,Trae Young,Tue Oct 07 01:18:38 +0000 2014,[]
2021-09-13 14:14:55,1437419525373239299,They ask me what I do and who I do it for. https://t.co/GKquUKDLPu,Giannis_An34,Giannis Ugo Antetokounmpo,Tue Jan 07 00:29:14 +0000 2014,[]
