LHS,RHS,support,confidence,coverage,lift,count
"{player=CJ Elleby,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.8333333333333334,1.270009260484191e-4,1.5624793295498143,20
"{player=Paul Reed,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.2170922079640164e-4,0.6764705882352942,1.7991797856859373e-4,1.44960174869045,23
"{player=Tyler Cook,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.0583410504034925e-4,0.7142857142857143,1.4816774705648896e-4,1.5306353868160032,20
"{player=Miye Oni,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.005423997883318e-4,0.7037037037037037,1.4287604180447148e-4,1.319426989397621,19
"{player=Markus Howard,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.5875115756052387e-4,0.8108108108108109,1.957930943246461e-4,1.5202501584809003,30
"{player=Mason Jones,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1112581029236671e-4,0.7241379310344828,1.534594523085064e-4,1.357740658781218,21
"{player=Matt Thomas,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.270009260484191e-4,0.6486486486486487,1.957930943246461e-4,1.2162001267847202,24
"{player=Gary Clark,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1641751554438418e-4,0.8461538461538461,1.3758433655245404e-4,1.5865174730813496,22
"{player=Isaiah Joe,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.6933456806455881e-4,0.6530612244897959,2.592935573488557e-4,1.2244735970349563,32
"{player=Thanasis Antetokounmpo,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.005423997883318e-4,0.59375,1.6933456806455881e-4,1.2723406652908025,19
"{player=Nicolo Melli,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.005423997883318e-4,0.7307692307692307,1.3758433655245404e-4,1.3701741812975292,19
"{player=Nicolas Claxton,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.0583410504034925e-4,0.6451612903225806,1.6404286281254134e-4,1.3825093816402607,20
"{player=Nicolas Claxton,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.005423997883318e-4,0.7307692307692307,1.3758433655245404e-4,1.5659577418963722,19
"{player=Nicolas Claxton,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.270009260484191e-4,0.6857142857142857,1.8520968382061117e-4,1.4694099713433628,24
