"x","y","endX","endY","countP"
2,13,16,3,1
4,63,25,72,1
7,69.5,74.5,74,2
8,14,13,17,1
9,16,14,12,1
9,27,5,31,1
10,38,42,47,1
11,50,15,44,1
11,76,16.5,66.5,2
15,14,14,6,1
14,27,35,21,1
14.3333333333333,29.3333333333333,17.3333333333333,29.3333333333333,3
13.3333333333333,32.6666666666667,8.66666666666667,32.6666666666667,3
13,37,29,44,1
14,45,30,52,1
13,61,10,56,2
14,66.5,21.5,73.5,2
13,74,8,78,1
14,76,6,63,1
16,12,3,41,1
19,23,26,27,1
18,25.5,9,14,2
18,29,14,21,2
18,35,7,35,1
18,44.5,28,51.5,2
18.5,49.5,7.5,51,2
17,53.3333333333333,9.66666666666667,63.6666666666667,3
17.4,57.2,36,46.8,5
17,61,41,67.3333333333333,3
16,65.5,17.5,71,2
18.3333333333333,69.3333333333333,33,66.3333333333333,3
16,73,32.3333333333333,70.3333333333333,3
18,76.6666666666667,18.6666666666667,76.6666666666667,3
20,8,20,4,1
21.5,12.5,29.5,14,2
23,17,16,11,1
21.5,20,20.5,30.5,2
20,24,17,9,1
22,30,56,74,1
22.5,33.75,18.75,43.5,4
20,39,55,2,1
20.5,41,13.5,61.5,2
21.5714285714286,45.5714285714286,26.2857142857143,47.7142857142857,7
22.3333333333333,49.3333333333333,15.6666666666667,28.6666666666667,3
22,53,7,47,1
22.25,58.25,17,55.5,4
22.25,61.25,41.75,68,4
23,64,46,78,1
22,74,32,70,1
26,8,25,2,1
25.6666666666667,18,22.6666666666667,31,3
26.25,25.5,31.25,34.5,4
26.3333333333333,30,27.6666666666667,36,3
26.4,33.6,30.4,37.8,5
25.5,37.5,34,15,2
26.3333333333333,40.6666666666667,21,40,3
24.5,45,18,24,2
25.3333333333333,49.3333333333333,36.6666666666667,34,3
25,52.6666666666667,27.3333333333333,65.6666666666667,3
27,57,24,73,1
26.3333333333333,61.3333333333333,30,60.6666666666667,3
25.5,66.25,34.5,61,4
27,68,25,57,1
25.8,73.2,29.4,69.8,5
29.5,9,37,11.5,2
29,18,24,16.3333333333333,3
29.6,25.4,53.2,19.8,5
29,29,46.4,45.8,5
30.4,33.6,51,49.4,5
29.5714285714286,37.2857142857143,45.7142857142857,49.4285714285714,7
29.7142857142857,41.5,34.9285714285714,31.4285714285714,14
29.6666666666667,45.3333333333333,41.3333333333333,36.1666666666667,6
29.5,49,42,57.25,4
30,55,28,50,1
29,57.6666666666667,37.3333333333333,74.3333333333333,3
29.25,61.5,27,61,4
30,64.5,36.5,64.5,2
28,72,19,77,1
29,78,37,63,1
35,7,31,16,1
32,13,31,12,1
33,20,29.5,10,2
33.3333333333333,25.6666666666667,33,15,3
34,29.9,39,41.5,10
33.8333333333333,33.6666666666667,45,23,6
33.3333333333333,37.1666666666667,43.5,45.5,6
33.25,40.25,65,54,4
32.875,45.75,46.875,48.875,8
33,50.6666666666667,44,38.6666666666667,3
32.8333333333333,53,46.1666666666667,44.8333333333333,6
33.6666666666667,57.6666666666667,41,41.3333333333333,3
33.5714285714286,61,32.8571428571429,52,7
34.3333333333333,65.6666666666667,43,50.6666666666667,3
33.3333333333333,69.1666666666667,36,66.8333333333333,6
33.75,76.75,37.75,61.5,4
36,6,26.3333333333333,7.33333333333333,3
37,8.75,34.75,17.25,4
38,14,43.6666666666667,12.6666666666667,3
36.75,18.25,38.25,11.75,4
37.3333333333333,21.3333333333333,35.6666666666667,25,3
37.5,25.5,72.5,34,2
37,31,68,43,1
36.8333333333333,33.75,53.6666666666667,28.9166666666667,12
37.3571428571429,37.6428571428571,51.8571428571429,37.4285714285714,14
37.6875,41.25,52.1875,37,16
37.625,44.875,41.125,40.875,8
37.0909090909091,49.8181818181818,39.2727272727273,39.3636363636364,11
37.5,53.6666666666667,37.3333333333333,58.1666666666667,6
38.2857142857143,57.5714285714286,38,50.8571428571429,7
36.5,62,38.5,70,2
37.5,67,45.5,71.5,2
38,70,51.25,68.25,4
37.5,74.5,39.5,70.5,2
37.6666666666667,77,38,59.3333333333333,3
41.5,9,49,20.5,2
42,16,35,5,1
41.2,22.4,47.8,29.8,5
42.2222222222222,25.6666666666667,43.7777777777778,28.3333333333333,9
42.1,29.7,52,28.6,10
41.625,34,49,38.1875,16
41.7,37.3,58.6,36.9,10
41.4166666666667,41.5833333333333,50.0833333333333,43.6666666666667,12
41.8461538461538,45.3076923076923,48.4615384615385,46,13
42,50,40.4,49.8,5
40.25,53.25,46,42.5,4
41.2307692307692,57.1538461538462,41.3846153846154,52.8461538461538,13
41.8333333333333,61.5,49.8333333333333,64.8333333333333,6
41.5,64.5,32.5,49.5,2
41.6666666666667,70.3333333333333,50.6666666666667,65.3333333333333,3
41.3333333333333,77.1666666666667,49.1666666666667,63.5,6
46.4,13,54.6,42.4,5
47,19,50,18,1
45,22.5,44.5,13.5,2
45.6,25.2,41,20,5
45.4444444444444,29.8888888888889,57.3333333333333,41.1111111111111,9
45,34,49.6666666666667,53.3333333333333,3
45.0769230769231,37.5384615384615,54.9230769230769,33.3076923076923,13
45.7857142857143,41.4285714285714,51.6428571428571,47.9285714285714,14
45.5833333333333,45.5,56.75,40.0833333333333,12
45.4285714285714,48.7142857142857,50.7142857142857,38.8571428571429,7
45.2727272727273,53.2727272727273,44,50.7272727272727,11
45.25,57,58.75,59.5,8
45.2142857142857,61.2142857142857,48.7857142857143,53.9285714285714,14
45.3333333333333,65.3333333333333,47,39,3
44.6,69.2,58.8,63.4,5
45.2,73,43.6,61.6,5
46,76.6666666666667,50.6666666666667,72.3333333333333,3
49.4,5.6,42.4,12,5
49.5,18.5,51,15,2
49.75,21.25,51.25,29.75,4
50,26,56.7,18.2,10
49.4615384615385,30.0769230769231,52.5384615384615,35.7692307692308,13
49.3,33.1,58.3,36,10
49.2857142857143,37.5714285714286,62,39.5714285714286,7
49,42.1428571428571,52,55.1428571428571,7
49.4,45.6,54.2,34.2,5
50.3571428571429,49.6428571428571,57.5,47.7857142857143,14
49.5,53.9166666666667,52.5833333333333,53.5833333333333,12
49.2777777777778,57.9444444444444,52.5555555555556,55.8333333333333,18
49.5714285714286,61.1428571428571,47.7142857142857,51.7142857142857,14
49.8,65.1,46.9,61.6,10
49.6666666666667,69.3333333333333,50.3333333333333,62.1666666666667,6
48.6666666666667,74,51.6666666666667,74.6666666666667,3
48.6,77.4,52.2,68,5
54.3333333333333,6,64.3333333333333,6.66666666666667,3
52,9,50,59,1
54,14.5,60,13.5,2
54.75,16.75,63,26.75,4
53.6,22,53.2,28,5
52.5,25.5,51.5,13,2
53.8571428571429,29.7142857142857,60.7142857142857,25.2857142857143,7
53.875,33.125,62.75,45.375,8
53.6190476190476,38,64,33.1428571428571,21
54.3076923076923,41.7692307692308,57.6923076923077,41.1538461538462,13
53.7,45.6,52.9,56,10
53.4285714285714,49.7857142857143,55.5,46.0714285714286,14
53.5714285714286,53.2857142857143,58.5,52,14
53.75,58.125,60.625,60.5,8
53.8461538461538,61.2307692307692,55.2307692307692,52.2307692307692,13
53.9,65.3,61.2,57.7,10
53.8,69.4,49,59.4,5
52.5,73,55,75,2
54,77.6666666666667,55.5,66.5,6
56,3,57,12,1
56,7,53,36,2
56,11,48,56,1
