"x","y","endX","endY","countP"
7,15,41,32,2
5.28571428571429,26.9047619047619,33.4285714285714,35.8571428571429,21
6.25862068965517,36.0114942528736,29.6609195402299,39.632183908046,174
6.77911646586345,43.0602409638554,30.9678714859438,41.0281124497992,249
5.1304347826087,52.9130434782609,29.304347826087,47,23
7,64.5,66.5,65,2
18,2.5,69,13,2
13,15.5,29,14.5,2
13.3888888888889,26.7222222222222,32.1111111111111,25.2222222222222,18
13.7558139534884,35.7906976744186,33.4127906976744,36.0697674418605,172
14.140243902439,44,36.8231707317073,41.5182926829268,164
13.3513513513514,52.8918918918919,34.8648648648649,47.1621621621622,37
11.5,63.5,19,42,2
17,70,63,69,1
28,17,32,27,1
23.875,24.75,52.25,41.75,8
23.4666666666667,35.8666666666667,45.5666666666667,34.1666666666667,30
23.7142857142857,43.2571428571429,49.6285714285714,48.0571428571429,35
23.5454545454545,54.2727272727273,41.5454545454545,47.4545454545455,11
20,60,30,61,1
23.5,73.5,47,57,2
36,6,68,9,1
35,13,46,10,1
31.5,25,56,36.5,2
34.5,34.75,42.5,37.75,4
32.2857142857143,43,45.8571428571429,39,7
38,52,51,41,1
31.5,71.5,48.5,69.5,2
43,17,56,20,1
40,29,67,21,1
40,40,49,48,1
43,67,48,67,1
50,55,56,56,1
107,55,100,70,1
